"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1529","Product picture is visible on product page","firefox","Tue Aug 06 14:51:34 EEST 2024","passed","Tue Aug 06 14:51:35 EEST 2024","Products page validations","e2e.spec.ts","",""
"","916","Checkout button in the cart is visible","chromium","Tue Aug 06 14:51:27 EEST 2024","passed","Tue Aug 06 14:51:28 EEST 2024","Cart Page Validations","e2e.spec.ts","",""
"","1159","After adding six products to the cart, the user will be able to see the number six on the cart icon","chromium","Tue Aug 06 14:51:28 EEST 2024","passed","Tue Aug 06 14:51:29 EEST 2024","E2E tests","e2e.spec.ts","",""
"","15997","QTY column in the cart is visible","firefox","Tue Aug 06 14:51:35 EEST 2024","passed","Tue Aug 06 14:51:51 EEST 2024","Cart Page Validations","e2e.spec.ts","",""
"","1092","Description column in the cart is visible","firefox","Tue Aug 06 14:51:35 EEST 2024","passed","Tue Aug 06 14:51:37 EEST 2024","Cart Page Validations","e2e.spec.ts","",""
"","1195","Product picture is visible on product page","webkit","Tue Aug 06 14:51:43 EEST 2024","passed","Tue Aug 06 14:51:44 EEST 2024","Products page validations","e2e.spec.ts","",""
"","1081","Validate that products Cart is visible","webkit","Tue Aug 06 14:51:42 EEST 2024","passed","Tue Aug 06 14:51:43 EEST 2024","Products page validations","e2e.spec.ts","",""
"","899","Product picture is visible on product page","chromium","Tue Aug 06 14:51:26 EEST 2024","passed","Tue Aug 06 14:51:27 EEST 2024","Products page validations","e2e.spec.ts","",""
"","1379","Product description is visible on product page","firefox","Tue Aug 06 14:51:35 EEST 2024","passed","Tue Aug 06 14:51:36 EEST 2024","Products page validations","e2e.spec.ts","",""
"","1799","Validate that Log Out button is visible","chromium","Tue Aug 06 14:51:25 EEST 2024","passed","Tue Aug 06 14:51:27 EEST 2024","Products page validations","e2e.spec.ts","",""
"","800","User can login on the website","chromium","Tue Aug 06 14:51:28 EEST 2024","passed","Tue Aug 06 14:51:28 EEST 2024","E2E tests","e2e.spec.ts","",""
"","975","Validate that products Cart is visible","chromium","Tue Aug 06 14:51:26 EEST 2024","passed","Tue Aug 06 14:51:27 EEST 2024","Products page validations","e2e.spec.ts","",""
